PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
1630191,Isaiah Stewart,1610612765,DET,24.0,13,11,2,23.0,10.8,6.2,1.5,0.2,2.1,1.1,0.505,0.395,0.75
1627826,Ivica Zubac,1610612746,LAC,28.0,16,5,11,31.4,16.0,11.2,2.3,0.5,0.9,1.9,0.614,0.0,0.75
1631120,JD Davison,1610612745,HOU,23.0,5,5,0,4.7,2.2,0.0,0.4,0.2,0.2,0.0,0.5,0.5,0.0
1629630,Ja Morant,1610612763,MEM,26.0,12,4,8,28.8,17.9,3.5,7.6,1.0,0.1,3.8,0.359,0.167,0.942
1642266,Ja'Kobe Walter,1610612761,TOR,21.0,13,10,3,12.3,3.5,1.4,0.7,1.0,0.1,0.8,0.395,0.37,0.857
1631095,Jabari Smith Jr.,1610612745,HOU,22.0,13,9,4,33.1,14.9,6.9,1.8,0.7,0.8,1.1,0.441,0.395,0.786
1631133,Jabari Walker,1610612755,PHI,23.0,15,9,6,12.8,3.3,3.2,0.5,0.1,0.3,0.4,0.435,0.214,0.857
1631210,Jacob Toppin,1610612737,ATL,25.0,4,3,1,2.6,1.5,0.3,0.3,0.0,0.3,0.0,0.75,0.0,0.0
1630702,Jaden Hardy,1610612742,DAL,23.0,15,4,11,11.6,6.2,1.3,0.4,0.3,0.1,0.9,0.387,0.396,0.8
1631093,Jaden Ivey,1610612765,DET,23.0,1,1,0,15.4,10.0,1.0,2.0,1.0,0.0,1.0,0.667,0.333,0.5
1630183,Jaden McDaniels,1610612750,MIN,25.0,15,9,6,31.7,17.2,4.6,2.3,1.2,1.2,1.9,0.544,0.472,0.854
1630256,Jae'Sean Tate,1610612745,HOU,30.0,8,7,1,5.1,1.0,0.8,0.1,0.1,0.0,0.1,0.364,0.0,0.0
1642942,Jahmai Mashack,1610612763,MEM,23.0,1,1,0,6.4,6.0,2.0,0.0,0.0,0.0,0.0,0.5,0.5,0.0
1642443,Jahmir Young,1610612748,MIA,25.0,3,3,0,5.3,2.7,0.3,1.0,0.0,0.0,0.3,0.375,0.667,0.0
1643141,Jahmyl Telfort,1610612746,LAC,24.0,5,1,4,4.8,0.2,0.4,0.2,0.2,0.0,0.2,0.0,0.0,0.25
1631170,Jaime Jaquez Jr.,1610612748,MIA,24.0,16,10,6,30.2,16.4,6.8,5.4,0.8,0.3,2.0,0.512,0.207,0.787
1631222,Jake LaRavia,1610612747,LAL,24.0,15,11,4,28.5,10.6,4.5,2.3,1.5,0.3,1.2,0.487,0.34,0.667
1627751,Jakob Poeltl,1610612761,TOR,30.0,12,9,3,25.5,11.3,7.7,1.8,0.6,0.6,1.2,0.737,0.0,0.561
1628973,Jalen Brunson,1610612752,NYK,29.0,13,8,5,34.2,28.4,3.5,6.8,0.8,0.1,2.5,0.476,0.36,0.859
1631105,Jalen Duren,1610612765,DET,22.0,14,12,2,28.8,20.5,11.5,2.1,1.0,1.0,2.4,0.675,0.0,0.767
1630224,Jalen Green,1610612756,PHX,23.0,2,2,0,14.9,15.5,2.0,2.0,1.0,0.0,1.0,0.478,0.429,0.6
1630552,Jalen Johnson,1610612737,ATL,23.0,15,9,6,33.7,22.0,9.7,6.7,1.7,0.3,3.2,0.568,0.408,0.8
1629618,Jalen Pickett,1610612743,DEN,26.0,7,6,1,7.5,2.6,1.0,1.0,0.0,0.0,0.6,0.467,0.429,1.0
1630188,Jalen Smith,1610612741,CHI,25.0,16,9,7,16.5,10.1,5.9,1.3,0.3,0.8,0.9,0.472,0.371,0.714
1630591,Jalen Suggs,1610612753,ORL,24.0,13,8,5,23.9,14.4,3.8,4.6,1.5,0.5,3.1,0.521,0.373,0.905
1630592,Jalen Wilson,1610612751,BKN,25.0,12,2,10,15.4,5.7,1.0,0.6,0.2,0.0,0.7,0.375,0.41,0.769
1631288,Jamal Cain,1610612753,ORL,26.0,3,3,0,1.8,1.7,0.0,0.3,0.0,0.0,0.3,1.0,1.0,0.0
1627750,Jamal Murray,1610612743,DEN,28.0,15,11,4,35.0,22.8,4.7,6.7,1.2,0.3,2.4,0.473,0.362,0.903
1642347,Jamal Shead,1610612761,TOR,23.0,16,11,5,18.1,5.9,1.7,5.4,0.8,0.1,1.2,0.431,0.439,0.778
1631123,Jamaree Bouyea,1610612756,PHX,26.0,1,1,0,3.4,3.0,0.0,1.0,0.0,1.0,0.0,0.5,1.0,0.0
201935,James Harden,1610612746,LAC,36.0,15,5,10,35.7,28.4,6.0,8.5,1.0,0.5,3.8,0.461,0.408,0.899
1630164,James Wiseman,1610612754,IND,24.0,1,0,1,19.9,4.0,4.0,0.0,0.0,1.0,3.0,0.667,0.0,0.0
1642364,Jamir Watkins,1610612764,WAS,24.0,4,0,4,7.6,2.8,1.5,0.0,0.0,0.3,0.3,0.571,0.333,1.0
1642419,Jamison Battle,1610612761,TOR,24.0,12,9,3,6.7,3.8,1.1,0.2,0.2,0.1,0.4,0.68,0.647,0.0
1641716,Jarace Walker,1610612754,IND,22.0,16,2,14,28.1,9.7,5.1,2.6,0.6,0.4,2.1,0.307,0.282,0.805
1642272,Jared McCain,1610612755,PHI,21.0,6,3,3,10.4,2.2,1.0,0.7,0.2,0.0,0.5,0.208,0.231,0.0
1628991,Jaren Jackson Jr.,1610612763,MEM,26.0,15,4,11,29.0,17.9,5.3,1.5,0.5,1.3,2.1,0.47,0.368,0.803
1629020,Jarred Vanderbilt,1610612747,LAL,26.0,14,10,4,18.3,4.6,5.6,1.5,1.0,0.4,1.6,0.44,0.286,0.842
1628386,Jarrett Allen,1610612739,CLE,27.0,14,9,5,26.0,14.8,7.6,1.9,1.1,0.9,1.6,0.577,0.0,0.766
1642859,Jase Richardson,1610612753,ORL,20.0,9,5,4,4.0,0.7,0.2,0.8,0.0,0.0,0.3,0.286,0.2,0.5
1642914,Javon Small,1610612763,MEM,22.0,8,4,4,12.4,4.3,1.0,2.8,0.0,0.1,1.0,0.357,0.316,0.8
1631451,Javonte Cooke,1610612757,POR,26.0,2,1,1,5.3,2.0,0.5,0.5,0.5,0.0,1.0,0.286,0.0,0.0
1629750,Javonte Green,1610612765,DET,32.0,16,14,2,22.6,8.1,3.6,1.1,1.1,0.4,0.8,0.424,0.32,0.763
1629637,Jaxson Hayes,1610612747,LAL,25.0,12,9,3,16.7,5.3,4.1,1.1,0.4,0.4,0.5,0.711,1.0,0.643
1630643,Jay Huff,1610612754,IND,28.0,16,2,14,15.9,6.3,3.1,0.9,0.1,2.0,0.7,0.383,0.277,0.688
1627759,Jaylen Brown,1610612738,BOS,29.0,16,8,8,32.1,27.4,5.7,4.1,0.9,0.3,3.5,0.503,0.344,0.772
1641740,Jaylen Clark,1610612750,MIN,24.0,14,10,4,16.5,4.9,2.6,0.6,1.0,0.1,0.4,0.444,0.36,0.55
1642377,Jaylen Wells,1610612763,MEM,22.0,17,6,11,25.3,9.6,3.4,1.7,0.6,0.0,0.7,0.37,0.282,0.69
1631119,Jaylin Williams,1610612760,OKC,23.0,16,15,1,18.7,5.4,4.6,2.4,0.7,0.5,1.0,0.345,0.301,0.778
